Side, Time
RN,15809849
RF,15811139
LN,15811166
LF,15811270
LN,15811412
LF,15811528
RN,15811558
RF,15811895
LN,15811923
LF,15812003
LN,15812132
LF,15812284
RN,15812315
RF,15812650
LN,15812680
LF,15812747
LN,15812857
LF,15813038
RN,15813071
RF,15813403
LN,15813435
LF,15813486
LN,15813575
LF,15813791
RN,15813825
RF,15814154
LN,15814188
LF,15814239
LN,15814265
LF,15814340
LN,15814432
LF,15814541
RN,15814577
RF,15814903
LN,15814939
LF,15815077
LN,15815078
LF,15815079
LN,15815145
LF,15815291
RN,15815328
RF,15815651
LN,15815688
LF,15815800
LN,15815889
LF,15816039
RN,15816077
RF,15816398
LN,15816436
RN,15816548
RF,15816558
LF,15816786
RN,15816825
RF,15817144
LN,15817181
RN,15817271
RF,15817274
LF,15817532
RN,15817573
RF,15817889
LN,15817928
LF,15818066
LN,15818163
LF,15818164
LN,15818165
LF,15818277
RN,15818319
RF,15818633
LN,15818673
LF,15818787
LN,15818905
LF,15819021
RN,15819065
RF,15819376
LN,15819417
LF,15819518
LN,15819629
LF,15819764
RN,15819810
RF,15820118
LN,15820162
LF,15820255
RN,15820262
LN,15820338
RF,15820404
RN,15820405
RF,15820406
LF,15820507
RN,15820554
RF,15820860
LN,15820904
RN,15821002
RF,15821168
LF,15821249
RN,15821298
RF,15821601
LN,15821648
LF,15821720
RN,15821729
LN,15821838
RF,15821884
LF,15821990
RN,15822040
RF,15822341
LN,15822390
RN,15822444
RF,15822445
RN,15822446
LF,15822478
LN,15822532
LF,15822533
LN,15822534
LF,15822571
LN,15822582
LF,15822583
LN,15822584
LF,15822586
LN,15822587
RF,15822642
LF,15822730
RN,15822783
RF,15823081
LN,15823130
RN,15823192
LF,15823245
LN,15823345
RF,15823371
LF,15823471
RN,15823524
RF,15823820
LN,15823870
RN,15823921
RF,15824131
LF,15824210
RN,15824265
RF,15824559
LN,15824611
RN,15824652
LF,15824750
LN,15824770
LF,15824772
LN,15824773
RF,15824890
LF,15824950
RN,15825007
RF,15825298
LN,15825351
RN,15825383
RF,15825384
RN,15825385
RF,15825634
LF,15825689
RN,15825747
RF,15826036
LN,15826090
RN,15826122
RF,15826380
LF,15826427
RN,15826487
RF,15826773
LN,15826829
RN,15826885
LF,15826910
LN,15827057
RF,15827105
LF,15827165
RN,15827227
RF,15827510
LN,15827568
RN,15827639
RF,15827640
RN,15827641
LF,15827655
LN,15827786
RF,15827858
LF,15827902
RN,15827967
RF,15828246
LN,15828306
RN,15828371
LF,15828385
LN,15828502
RF,15828585
LF,15828639
RN,15828706
RF,15828982
LN,15829046
RN,15829130
LF,15829150
LN,15829279
RF,15829324
LF,15829376
RN,15829444
RF,15829717
LN,15829782
RN,15829856
LF,15829875
LN,15829995
RF,15830074
LF,15830112
RN,15830183
RF,15830453
LN,15830519
RN,15830561
LF,15830654
LN,15830765
RF,15830802
LF,15830848
RN,15830920
RF,15831188
LN,15831255
RN,15831328
LF,15831364
LN,15831492
RF,15831550
LF,15831583
RN,15831659
RF,15831922
LN,15831991
RN,15832059
LF,15832095
LN,15832217
RF,15832297
LF,15832319
RN,15832396
RF,15832657
LN,15832728
RN,15832783
LF,15832887
LN,15832963
RF,15833026
LF,15833054
RN,15833133
RF,15833390
LN,15833464
RN,15833529
LF,15833576
LN,15833703
RF,15833772
LF,15833788
RN,15833871
RF,15834124
LN,15834200
RN,15834272
LF,15834313
LN,15834441
RF,15834516
LF,15834522
RN,15834608
RF,15834857
LN,15834935
RN,15835004
LF,15835079
LN,15835189
LF,15835256
RF,15835258
RN,15835344
RF,15835590
LN,15835670
RN,15835741
LF,15835823
LN,15835922
LF,15835990
RF,15836005
RN,15836081
RF,15836322
LN,15836406
RN,15836466
LF,15836560
LN,15836655
LF,15836723
RF,15836742
RN,15836818
RF,15837054
LN,15837140
RN,15837213
LF,15837299
LN,15837414
LF,15837457
RF,15837476
RN,15837554
RF,15837786
LN,15837875
RN,15837945
LF,15838025
LN,15838146
LF,15838190
RF,15838209
RN,15838290
RF,15838518
LN,15838609
RN,15838679
LF,15838760
LN,15838884
LF,15838922
RF,15838943
RN,15839026
RF,15839248
LN,15839344
RN,15839427
RF,15839429
RN,15839430
LF,15839479
LN,15839643
LF,15839651
RF,15839676
RN,15839763
RF,15839978
LN,15840079
RN,15840171
LF,15840210
LN,15840388
LF,15840398
RF,15840409
RN,15840502
RF,15840706
LN,15840813
RN,15840892
LF,15840957
LN,15841114
LF,15841135
RF,15841142
RN,15841240
RF,15841433
LN,15841549
RN,15841625
LF,15841685
LN,15841845
LF,15841863
RF,15841874
RN,15841979
RF,15842159
LN,15842283
RN,15842366
LF,15842422
LN,15842585
LF,15842601
RF,15842606
RN,15842718
RF,15842884
LN,15843017
RN,15843091
LF,15843156
RF,15843337
RN,15843459
RF,15843607
LN,15843752
RN,15843826
LF,15843893
RF,15844068
RN,15844203
RF,15844326
LN,15844487
RN,15844559
LF,15844626
RF,15844799
RN,15844953
RF,15845040
LN,15845222
RN,15845297
LF,15845360
RF,15845531
LN,15845534
LF,15845546
LN,15845960
RN,15846029
LF,15846093
RF,15846262
LN,15846706
RN,15846760
LF,15846827
RF,15846993
LN,15847004
LF,15847019
LN,15847449
RN,15847493
LF,15847559
RF,15847724
LN,15848196
RN,15848227
LF,15848295
RF,15848456
LN,15848958
RN,15848960
LF,15849023
RF,15849195
RN,15849693
LN,15849912
RF,15849935
LF,15849945
RN,15850421
LN,15850484
LF,15850488
LN,15850489
LF,15850492
LN,15850650
LF,15850663
RF,15850684
RN,15851179
LN,15851215
LF,15851229
RF,15851448
RN,15851925
LN,15851950
LF,15851982
RF,15852178
RN,15852636
LN,15852698
LF,15852752
LN,15852812
LF,15852850
RF,15852912
RN,15853380
LN,15853424
LF,15853500
RF,15853640
